field_1,序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分(類別),車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別,﻿序號
"1345","1346.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","3","20","55",臺中市,中區,"0","1","0","6.0","1.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","4.0","5.0","2.0","17.0","2.0","9.0","1.0","1.0",F01,"7.0","9.0","7.0","21.0","1.0","12.0",,"84.0","84.0","1.0","13.0","4.0",215763.966594098,2670907.92536797,"2.0",
"1347","1348.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","3","20","57",臺中市,南區,"0","1","0","7.0","1.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","2.0","1.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","14.0",,"23.0","23.0","1.0","12.0","4.0",214822.151426925,2668601.72566967,"2.0",
"1353","1354.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","3","21","13",臺中市,太平區,"0","1","0","7.0","1.0","6.0","50.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","14.0",,"12.0","12.0","1.0","12.0","4.0",222236.721347403,2671651.80747026,"2.0",
"1383","1384.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","3","23","41",臺中市,西屯區,"0","0","0","7.0",,,"40.0",,,,,,,,,,,,,,"13.0",,,,,F02,,,"7.0",,"8.0",,,"59.0","59.0","1.0","12.0","4.0",120.663006,24.163534,"3.0",
"1408","1409.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","4","6","58",臺中市,南區,"0","1","0","7.0","3.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","9.0","5.0","5.0","2.0","17.0","2.0","8.0","5.0","4.0",F02,"7.0","9.0","7.0","21.0","2.0","11.0",,"84.0","84.0","1.0","12.0","4.0",215261.838378271,2667710.09959724,"2.0",
"1522","1523.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","4","12","14",臺中市,大肚區,"0","1","0","7.0","2.0","6.0","50.0","5.0","2.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","5.0","1.0","30.0","2.0","9.0","5.0","4.0",F01,"7.0","15.0","7.0","21.0","2.0","15.0",,"82.0","82.0","1.0","12.0","4.0",207301.447460211,2674022.99896051,"2.0",
"1547","1548.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","4","12","58",臺中市,北屯區,"0","1","0","7.0","3.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","5.0","2.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","9.0","11.0",,"84.0","84.0","1.0","13.0","4.0",220499.96468111,2674448.55057364,"2.0",
"1578","1579.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","4","13","48",臺中市,南屯區,"0","1","0","7.0","1.0","6.0","50.0","3.0","2.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","4.0","4.0","2.0","13.0","2.0","9.0","5.0","4.0",F02,"7.0","9.0","7.0","21.0","2.0","11.0",,"84.0","84.0","1.0","13.0","4.0",212682.306715471,2671484.93273704,"2.0",
"1592","1593.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","4","14","17",臺中市,霧峰區,"0","1","0","7.0","2.0","6.0","50.0","3.0","2.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","5.0","1.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","12.0",,"42.0","42.0","1.0","12.0","4.0",219278.833098672,2662309.12434347,"2.0",
"1614","1615.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","4","15","13",臺中市,太平區,"0","0","0","7.0",,,"50.0",,,,,,,,,,,,,,"16.0",,,,,F01,,,"7.0",,"2.0",,,"84.0","84.0","1.0","12.0","4.0",120.714631,24.153714,"3.0",
"1648","1649.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","4","16","35",臺中市,南區,"0","1","0","7.0","2.0","6.0","40.0","13.0","8.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","1.0","4.0","4.0","2.0","18.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","14.0",,"84.0","84.0","1.0","12.0","4.0",215070.51944093,2667956.10164306,"2.0",
"1890","1891.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","5","14","5",臺中市,潭子區,"0","0","0","7.0",,,"50.0",,,,,,,,,,,,,,,,,,,F01,,,"7.0",,"2.0",,,"23.0","23.0","1.0","13.0","4.0",120.707302,24.211118,"3.0",
"1906","1907.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","5","14","59",臺中市,北區,"0","1","0","7.0","2.0","6.0","50.0","13.0","7.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","4.0","4.0","2.0","12.0","3.0","10.0","6.0","1.0",F01,"7.0","8.0","7.0","21.0","2.0","12.0",,"40.0","40.0","1.0","13.0","4.0",120.682254,24.165908,"2.0",
"2000","2001.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","5","19","35",臺中市,大肚區,"0","0","0","7.0",,,"30.0",,,,,,,,,,,,,,,,,,,F01,,,"1.0",,"1.0",,,"15.0","15.0","1.0","3.0","4.0",120.53957,24.15291,"3.0",
"2026","2027.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","5","21","20",臺中市,東區,"0","0","0","7.0",,,"30.0",,,,,,,,,,,,,,"9.0",,,,,F01,,,"7.0",,"9.0",,,"8.0","8.0","1.0","4.0","4.0",120.704059,24.132418,"3.0",
"2038","2039.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","5","23","1",臺中市,豐原區,"0","1","0","7.0","2.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","5.0","2.0","12.0","2.0","8.0","5.0","4.0",F01,"7.0","6.0","7.0","21.0","2.0","14.0",,"48.0","48.0","1.0","13.0","4.0",222074.754040211,2681737.46587297,"2.0",
"2076","2077.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","6","8","28",臺中市,西區,"0","1","0","7.0","2.0","6.0","50.0","5.0","1.0","1.0","5.0","4.0","6.0","6.0","2.0","1.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","5.0","7.0","21.0","2.0","13.0",,"22.0","22.0","1.0","12.0","4.0",216684.963948382,2670656.55050745,"2.0",
"2343","2344.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","7","7","17",臺中市,南區,"0","1","0","7.0","1.0","6.0","50.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","16.0","2.0","7.0","1.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","11.0","12.0","7.0","7.0","1.0","12.0","3.0",217183.063106108,2669024.25532574,"2.0",
"2364","2365.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","7","7","47",臺中市,北屯區,"0","1","0","7.0","2.0","6.0","50.0","13.0","7.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","4.0","4.0","2.0","12.0","2.0","7.0","6.0","1.0",F01,"7.0","8.0","7.0","21.0","2.0","14.0",,"42.0","42.0","1.0","12.0","4.0",220293.623617949,2673825.11941468,"2.0",
"2415","2416.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","7","8","47",臺中市,西屯區,"0","2","0","7.0","2.0","6.0","30.0","5.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","4.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","14.0",,"12.0","12.0","1.0","13.0","1.0",214466.32438513,2673462.70786991,"2.0",
"2641","2642.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","7","17","0",臺中市,北屯區,"0","2","0","7.0","3.0","6.0","50.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","16.0","3.0","10.0","4.0","1.0",F01,"7.0","1.0","7.0","21.0","9.0","14.0",,"51.0","51.0","1.0","12.0","4.0",120.699374,24.178929,"2.0",
"2674","2675.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","7","17","48",臺中市,沙鹿區,"0","1","0","7.0","2.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","1.0","4.0","5.0","2.0","30.0","2.0","8.0","5.0","1.0",F01,"7.0","9.0","7.0","21.0","9.0","15.0",,"59.0","59.0","1.0","13.0","4.0",206531.586669714,2680107.11797736,"2.0",
"2696","2697.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","7","18","26",臺中市,神岡區,"0","1","0","7.0","2.0","6.0","40.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","1.0","17.0","2.0","9.0","5.0","4.0",F02,"7.0","1.0","7.0","21.0","2.0","14.0",,"51.0","51.0","1.0","13.0","4.0",217133.031484577,2684290.39077316,"2.0",
"2742","2743.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","7","20","28",臺中市,龍井區,"0","1","0","7.0","1.0","6.0","40.0","13.0","8.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","3.0","4.0","3.0","2.0","13.0","2.0","9.0","1.0","1.0",F02,"7.0","9.0","7.0","21.0","2.0","11.0",,"59.0","59.0","1.0","4.0","4.0",207398.495084831,2674636.83121746,"2.0",
"2750","2751.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","7","21","2",臺中市,太平區,"0","1","0","7.0","1.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","4.0","1.0","18.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","14.0",,"84.0","84.0","1.0","12.0","4.0",221132.995514141,2669906.91324327,"2.0",
"2770","2771.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","8","0","22",臺中市,北屯區,"0","1","0","7.0","1.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","2.0","1.0","10.0","5.0","5.0","2.0","18.0","2.0","7.0","6.0","1.0",F02,"7.0","15.0","7.0","21.0","9.0","12.0",,"53.0","53.0","1.0","12.0","4.0",219922.875714216,2675229.11621071,"2.0",
"2900","2901.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","8","10","55",臺中市,南屯區,"0","0","0","7.0",,,"40.0",,,,,,,,,,,,,,"17.0",,,,,F01,,,"7.0",,"1.0",,,"82.0","82.0","1.0","12.0","4.0",120.632694,24.117749,"3.0",
"2969","2970.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","8","14","13",臺中市,西區,"0","2","0","7.0","3.0","6.0","50.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","12.0","2.0","9.0","1.0","1.0",F01,"7.0","1.0","7.0","21.0","2.0","11.0",,"51.0","51.0","1.0","6.0","4.0",215851.100378394,2669778.83060689,"2.0",
"3048","3049.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","8","17","24",臺中市,北屯區,"0","1","0","7.0","3.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","9.0","4.0","5.0","2.0","17.0","2.0","9.0","4.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","11.0",,"59.0","59.0","1.0","12.0","4.0",219103.187879496,2675282.81716418,"2.0",
"3107","3108.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","8","18","44",臺中市,豐原區,"0","1","0","7.0","1.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","1.0","4.0","5.0","1.0","17.0","2.0","2.0","4.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","14.0",,"48.0","48.0","1.0","12.0","4.0",221618.1482829,2684308.92989836,"2.0",
"3133","3134.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","8","20","30",臺中市,沙鹿區,"0","1","0","7.0","2.0","6.0","40.0","12.0","8.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","1.0","3.0","4.0","2.0","18.0","2.0","9.0","5.0","1.0",F01,"7.0","9.0","7.0","21.0","1.0","12.0",,"59.0","59.0","1.0","12.0","4.0",206692.850218243,2678402.57299366,"2.0",
"3163","3164.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","8","22","48",臺中市,北區,"0","1","0","7.0","2.0","6.0","0.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","2.0","1.0","10.0","5.0","5.0","2.0","18.0","2.0","9.0","5.0","1.0",F01,"7.0","9.0","7.0","21.0","8.0","16.0",,"84.0","84.0","1.0","13.0","4.0",216521.28359078,2673096.45069123,"2.0",
"3288","3289.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","9","9","50",臺中市,西區,"0","2","0","7.0","2.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","11.0",,"7.0","7.0","1.0","13.0","4.0",214938.53436391,2672109.0387668,"2.0",
"3360","3361.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","9","13","15",臺中市,南屯區,"0","1","0","7.0","3.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","18.0","2.0","9.0","4.0","1.0",F01,"7.0","5.0","7.0","21.0","2.0","12.0",,"84.0","84.0","1.0","12.0","4.0",213203.505165695,2670484.37619195,"2.0",
"3476","3477.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","9","17","42",臺中市,南區,"0","0","0","7.0",,,"50.0",,,,,,,,,,,,,,"17.0",,,,,F01,,,"7.0",,"2.0",,,"7.0","7.0","1.0","13.0","1.0",120.650238,24.120897,"3.0",
"3500","3501.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","9","18","10",臺中市,沙鹿區,"0","2","0","7.0","2.0","6.0","30.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","2.0","8.0","6.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","14.0","13.0","14.0","14.0","1.0","3.0","4.0",206040.391523109,2683308.64171314,"2.0",
"3574","3575.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","9","21","0",臺中市,北屯區,"0","1","0","7.0","1.0","6.0","50.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","3.0","1.0","10.0","5.0","5.0","2.0","17.0","3.0","10.0","4.0","1.0",F01,"7.0","1.0","7.0","21.0","2.0","14.0",,"51.0","51.0","1.0","12.0","1.0",120.707401,24.173489,"2.0",
"3580","3581.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","9","21","24",臺中市,太平區,"0","2","0","7.0","3.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","4.0","1.0","16.0","2.0","9.0","2.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","14.0",,"48.0","48.0","1.0","12.0","4.0",220339.616496575,2672687.16796706,"2.0",
"3625","3626.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","10","7","0",臺中市,西屯區,"0","1","0","7.0","2.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","1.0","4.0","5.0","2.0","18.0","2.0","9.0","4.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","16.0",,"59.0","59.0","1.0","13.0","1.0",208773.829947461,2676356.08615858,"2.0",
"3649","3650.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","10","8","53",臺中市,南區,"0","2","0","7.0","1.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","9.0","4.0","5.0","2.0","11.0","2.0","9.0","1.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","12.0","14.0","84.0","84.0","1.0","12.0","4.0",214620.870115641,2667774.69317276,"2.0",
"3677","3678.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","10","10","22",臺中市,太平區,"0","1","0","7.0","2.0","9.0","30.0","13.0","13.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","20.0","2.0","9.0","1.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","11.0",,"59.0","59.0","1.0","6.0","4.0",219782.919296914,2671951.95685623,"2.0",
"3790","3791.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","10","15","41",臺中市,西區,"0","1","0","7.0","2.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","4.0","5.0","2.0","18.0","2.0","9.0","6.0","1.0",F01,"7.0","15.0","7.0","21.0","1.0","16.0",,"84.0","84.0","1.0","12.0","4.0",216364.987837887,2671285.81518886,"2.0",
"3862","3863.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","10","18","9",臺中市,后里區,"0","0","0","7.0","1.0","6.0","30.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","17.0","3.0","10.0","1.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","12.0",,"84.0","84.0","1.0","12.0","4.0",120.721573,24.304948,"3.0",
"3940","3941.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","4","54",臺中市,北區,"0","1","0","7.0","1.0","6.0","50.0","13.0","7.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","3.0","4.0","4.0","2.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","8.0","7.0","21.0","2.0","14.0",,"42.0","42.0","1.0","12.0","4.0",218928.794507068,2672004.9631456,"2.0",
"3948","3949.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","6","58",臺中市,北區,"0","0","0","7.0",,,"50.0",,,,,,,,,,,,,,,,,,,F01,,,"7.0",,"2.0",,,"58.0","58.0","1.0","12.0","4.0",120.67815,24.14877,"3.0",
"3955","3956.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","7","46",臺中市,西屯區,"0","3","0","7.0","3.0","6.0","40.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","2.0","16.0","2.0","9.0","5.0","4.0",F02,"7.0","6.0","7.0","21.0","2.0","14.0",,"48.0","48.0","1.0","13.0","4.0",214221.04774772,2673872.88255368,"2.0",
"3958","3959.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","8","18",臺中市,北區,"0","3","0","7.0","2.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","2.0","17.0","3.0","10.0","1.0","1.0",F02,"7.0","9.0","7.0","21.0","2.0","12.0",,"84.0","84.0","1.0","13.0","4.0",120.679955,24.158179,"2.0",
"3991","3992.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","10","28",臺中市,南屯區,"0","1","0","7.0","3.0","6.0","50.0","4.0","2.0","1.0","5.0","4.0","6.0","6.0","2.0","1.0","10.0","5.0","5.0","2.0","17.0","3.0","10.0","6.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","11.0",,"4.0","4.0","1.0","6.0","4.0",120.647823,24.150639,"2.0",
"4032","4033.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","12","46",臺中市,北屯區,"0","2","0","7.0","2.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","2.0","16.0","2.0","8.0","6.0","1.0",F01,"7.0","6.0","7.0","21.0","2.0","14.0",,"48.0","48.0","1.0","4.0","1.0",217840.222357123,2676275.40597233,"2.0",
"4039","4040.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","13","7",臺中市,大里區,"0","2","0","7.0","2.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","2.0","16.0","2.0","9.0","6.0","1.0",F01,"7.0","6.0","7.0","21.0","1.0","14.0",,"48.0","48.0","1.0","2.0","4.0",219687.253655388,2666057.46639553,"2.0",
"4043","4044.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","13","21",臺中市,北區,"0","0","0","7.0",,,"50.0",,,,,,,,,,,,,,"16.0",,,,,F01,,,"7.0",,"1.0",,,"14.0","14.0","1.0","13.0","4.0",120.684433,24.153025,"3.0",
"4070","4071.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","14","36",臺中市,東區,"0","1","0","7.0","2.0","6.0","40.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","2.0","1.0","10.0","5.0","5.0","2.0","18.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","15.0",,"84.0","84.0","1.0","12.0","4.0",218527.381613515,2669198.31254261,"2.0",
"4073","4074.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","14","42",臺中市,神岡區,"0","1","0","7.0","1.0","6.0","30.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","5.0","5.0","1.0","16.0","2.0","8.0","4.0","4.0",F01,"7.0","15.0","7.0","21.0","1.0","11.0",,"39.0","39.0","1.0","12.0","4.0",218217.201705289,2682382.86129591,"2.0",
"4085","4086.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","15","19",臺中市,東勢區,"0","2","0","7.0","2.0","8.0","15.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","9.0","5.0","5.0","1.0","11.0","2.0","9.0","4.0","1.0",F02,"7.0","9.0","7.0","21.0","2.0","11.0",,"84.0","84.0","1.0","2.0","4.0",231591.234646455,2686064.03109617,"2.0",
"4148","4149.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","18","25",臺中市,北屯區,"0","1","0","7.0","1.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","10.0","5.0","5.0","2.0","16.0","2.0","9.0","5.0","4.0",F02,"7.0","6.0","7.0","21.0","2.0","12.0",,"4.0","4.0","1.0","12.0","4.0",219462.857814652,2675287.35574802,"2.0",
"4149","4150.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","18","25",臺中市,大肚區,"0","1","0","7.0","1.0","6.0","30.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","2.0","16.0","3.0","10.0","5.0","1.0",F01,"7.0","11.0","7.0","21.0","2.0","13.0",,"42.0","42.0","1.0","6.0","4.0",120.574066,24.167146,"2.0",
"4157","4158.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","11","18","44",臺中市,南區,"0","2","0","7.0","1.0","6.0","30.0","4.0","2.0","1.0","5.0","4.0","6.0","6.0","2.0","1.0","10.0","5.0","5.0","2.0","17.0","2.0","9.0","6.0","1.0",F01,"7.0","5.0","7.0","21.0","2.0","11.0",,"4.0","4.0","1.0","12.0","4.0",217710.97134178,2669235.35823049,"2.0",
"4281","4282.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","12","9","21",臺中市,豐原區,"0","1","0","7.0","2.0","6.0","50.0","13.0","13.0","1.0","5.0","4.0","1.0","6.0","4.0","4.0","5.0","5.0","5.0","2.0","28.0","2.0","9.0","5.0","4.0",F01,"7.0","9.0","7.0","21.0","2.0","15.0",,"84.0","84.0","1.0","13.0","4.0",225418.101242973,2685681.01669434,"2.0",
"4309","4310.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","12","11","17",臺中市,神岡區,"0","1","0","7.0","2.0","6.0","40.0","5.0","1.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","10.0","5.0","5.0","1.0","15.0","4.0","11.0","5.0","4.0",F02,"7.0","9.0","7.0","21.0","2.0","12.0",,"12.0","12.0","1.0","13.0","4.0",120.69227,24.235594,"2.0",
"4352","4353.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","12","13","15",臺中市,東區,"0","1","0","7.0","2.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","2.0","1.0","10.0","5.0","5.0","2.0","18.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","1.0","14.0",,"84.0","84.0","1.0","12.0","4.0",218352.850171578,2669055.94162282,"2.0",
"4372","4373.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","12","14","56",臺中市,太平區,"0","2","0","7.0","3.0","6.0","50.0","3.0","1.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","5.0","4.0","5.0","1.0","16.0","2.0","9.0","6.0","1.0",F01,"7.0","1.0","7.0","21.0","8.0","14.0",,"53.0","53.0","1.0","12.0","4.0",222249.530517219,2669933.48903858,"2.0",
"4429","4430.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","12","18","8",臺中市,北區,"0","0","0","7.0",,,"50.0",,,,,,,,,,,,,,"17.0",,,,,F01,,,"7.0",,"2.0",,,"85.0","85.0","1.0","12.0","4.0",120.674852,24.146742,"3.0",
"4452","4453.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","12","19","44",臺中市,西屯區,"0","2","0","7.0","1.0","6.0","50.0","13.0","9.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","4.0","5.0","1.0","16.0","2.0","9.0","6.0","1.0",F01,"7.0","11.0","7.0","21.0","2.0","14.0",,"45.0","45.0","1.0","5.0","4.0",215021.594894127,2675015.06627653,"2.0",
"4483","4484.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","12","21","45",臺中市,南屯區,"0","1","0","7.0","1.0","6.0","50.0","4.0","2.0","1.0","5.0","4.0","6.0","6.0","1.0","1.0","9.0","5.0","5.0","2.0","18.0","2.0","9.0","6.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","12.0",,"84.0","84.0","1.0","12.0","4.0",214300.291714278,2672167.88426895,"2.0",
"4549","4550.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","13","7","40",臺中市,北屯區,"0","1","0","7.0","3.0","6.0","50.0","13.0","8.0","1.0","5.0","4.0","6.0","6.0","4.0","4.0","5.0","4.0","4.0","2.0","18.0","2.0","9.0","2.0","1.0",F01,"7.0","9.0","7.0","21.0","2.0","14.0",,"84.0","84.0","1.0","12.0","4.0",223423.877591826,2674794.41734024,"2.0",
"4666","4667.0","66000",387130000C,(04)23274275,(04)23288582,"2025","10","13","10","48",臺中市,西屯區,"0","2","0","7.0","2.0","6.0","50.0","4.0","1.0","1.0","5.0","4.0","6.0","6.0","2.0","1.0","10.0","5.0","5.0","2.0","16.0","2.0","9.0","6.0","4.0",F01,"7.0","5.0","7.0","21.0","2.0","12.0",,"11.0","11.0","1.0","13.0","4.0",211895.741744346,2675098.08276656,"2.0",
